,left_wheel_x,left_wheel_y,right_wheel_x,right_wheel_y,xr - xl,yr-yl,L,center_x,center_y,theta_radians,theta_degrees
1,-22.5,24.8,2.3,22.5,24.8,-2.3,24.9,-10.1,23.7,-0.09,-5
2,-22.9,24.7,1.8,22.9,24.7,-1.8,24.8,-10.6,23.8,-0.07,-4
3,-25.2,25.1,-0.4,25.2,24.8,0.1,24.8,-12.8,25.2,0.00,0
4,-24.5,25.2,0.3,25.4,24.8,0.2,24.8,-12.1,25.3,0.01,0
5,-25.0,24.9,-0.3,25.5,24.7,0.6,24.7,-12.7,25.2,0.02,1
6,-24.8,25.4,0.0,25.4,24.8,0.0,24.8,-12.4,25.4,0.00,0
7,-23.2,24.7,1.5,23.3,24.7,-1.4,24.7,-10.9,24.0,-0.06,-3
8,-23.8,24.3,1.0,23.3,24.8,-1.0,24.8,-11.4,23.8,-0.04,-2
9,-23.1,24.4,1.7,23.6,24.8,-0.8,24.8,-10.7,24.0,-0.03,-2
10,-22.7,24.1,2.1,22.1,24.8,-2.0,24.9,-10.3,23.1,-0.08,-5
11,-23.6,24.5,1.2,23.4,24.8,-1.1,24.8,-11.2,24.0,-0.04,-3
12,-24.9,24.4,0.0,24.6,24.9,0.2,24.9,-12.5,24.5,0.01,0
13,-23.3,25.5,1.5,23.7,24.8,-1.8,24.9,-10.9,24.6,-0.07,-4
14,-24.0,24.6,0.8,24.0,24.8,-0.6,24.8,-11.6,24.3,-0.02,-1
15,-23.6,24.4,1.2,23.2,24.8,-1.2,24.8,-11.2,23.8,-0.05,-3
16,-23.6,25.1,1.3,23.8,24.9,-1.3,24.9,-11.2,24.5,-0.05,-3
17,-25.4,24.3,-0.6,25.0,24.8,0.7,24.8,-13.0,24.7,0.03,2
18,-22.7,24.9,2.0,22.7,24.7,-2.2,24.8,-10.4,23.8,-0.09,-5
19,-25.3,24.4,-0.4,24.8,24.9,0.4,24.9,-12.9,24.6,0.02,1
20,-24.5,25.3,0.3,24.9,24.8,-0.4,24.8,-12.1,25.1,-0.02,-1
