Right Arc Experiment,,,,,,,
,Left,,Right,,,,
,x,y,x,y,xr - xl,yr-yl,L
1,-30.7,12.1,-15.4,31.6,15.3,19.5,24.8
2,-30.8,11.7,-15.9,31.5,14.9,19.8,24.8
3,-30.9,11.5,-16.1,31.4,14.8,19.9,24.8
4,-30.6,11.7,-15.7,31.5,14.9,19.8,24.8
5,-30.9,11.4,-16.2,31.2,14.7,19.8,24.7
6,-31.0,11.4,-16.5,31.5,14.5,20.1,24.8
7,-30.8,11.5,-16.3,31.6,14.5,20.1,24.8
8,-30.7,11.4,-15.9,31.3,14.8,19.9,24.8
9,-30.7,11.4,-16.1,31.4,14.6,20.0,24.8
10,-31.0,11.5,-16.3,31.6,14.7,20.1,24.9
11,-30.8,11.0,-16.5,31.2,14.3,20.2,24.7
12,-30.8,11.5,-15.9,31.4,14.9,19.9,24.9
13,-30.8,11.4,-16.4,31.6,14.4,20.2,24.8
14,-30.4,11.6,-15.6,31.5,14.8,19.9,24.8
15,-30.8,11.3,-16.3,31.4,14.5,20.1,24.8
16,-30.7,11.4,-16.2,31.5,14.5,20.1,24.8
17,-30.6,11.5,-15.6,31.7,15.0,20.2,25.2
18,-30.8,11.4,-16.5,31.6,14.3,20.2,24.7
19,-30.5,11.7,-15.9,31.5,14.6,19.8,24.6
20,-30.7,12.0,-16.0,31.9,14.7,19.9,24.7
